"LAST_RUN","MATCH_RESULT","id","category","severity","jira","note"
"2026-07-26","passed","PAY-1001","Refund","Low","","under 300ms"
"2026-07-26","passed","PAY-1002","Card form","Low","","matched baseline"
"2026-07-26","passed","PAY-1003","Refund","Critical","","under 300ms"
"2026-07-27","passed","PAY-1004","Card form","Medium","","matched baseline"
"2026-07-27","passed","PAY-1005","Receipt email","Critical","","clean run"
"2026-07-27","passed","PAY-1006","3DS challenge","Critical","","clean run"
"2026-07-27","passed","PAY-1007","Refund","Critical","","clean run"
"2026-07-27","passed","PAY-1008","Card form","High","","no errors"
"2026-07-27","failed","PAY-1009","Refund","High","","500 from api"
"2026-07-27","passed","PAY-1010","Refund","High","","under 300ms"
"2026-07-27","passed","PAY-1011","Card form","Low","","matched baseline"
"2026-07-28","failed","PAY-1012","3DS challenge","High","QA-1909","assertion failed"
"2026-07-28","failed","PAY-1013","Receipt email","Medium","QA-1339","timeout"
"2026-07-28","failed","PAY-1014","Receipt email","High","QA-1785","assertion failed"
"2026-07-28","passed","PAY-1015","Card form","Low","","clean run"
"2026-07-28","passed","PAY-1016","3DS challenge","Low","","clean run"
"2026-07-28","passed","PAY-1017","Receipt email","Medium","","no errors"
"2026-07-28","passed","PAY-1018","Card form","Critical","","clean run"
"2026-07-29","passed","PAY-1019","Receipt email","Critical","","clean run"
"2026-07-29","passed","PAY-1020","Card form","High","","clean run"
"2026-07-29","ignored","PAY-1021","Refund","Critical","","known flake"
"2026-07-29","ignored","PAY-1022","Card form","High","","muted for release"
"2026-07-29","passed","PAY-1023","Receipt email","Low","","under 300ms"
"2026-07-29","passed","PAY-1024","Refund","Medium","","under 300ms"
"2026-07-29","passed","PAY-1025","Receipt email","Medium","","under 300ms"
"2026-07-29","passed","PAY-1026","Refund","Critical","","matched baseline"
"2026-07-30","passed","PAY-1027","Refund","Critical","","no errors"
"2026-07-30","passed","PAY-1028","Refund","Low","","no errors"
"2026-07-30","passed","PAY-1029","Receipt email","Medium","","under 300ms"
"2026-07-30","ignored","PAY-1030","Refund","Medium","","known flake"
"2026-07-30","failed","PAY-1031","Receipt email","High","QA-1482","assertion failed"
"2026-07-30","passed","PAY-1032","Refund","High","","no errors"
"2026-07-30","passed","PAY-1033","Refund","Medium","","no errors"
"2026-07-31","passed","PAY-1034","3DS challenge","Medium","","matched baseline"
"2026-07-31","passed","PAY-1035","Refund","Critical","","no errors"
"2026-07-31","passed","PAY-1036","3DS challenge","Low","","under 300ms"
"2026-07-31","passed","PAY-1037","Refund","High","","clean run"
"2026-07-31","failed","PAY-1038","3DS challenge","Medium","","assertion failed"
"2026-07-31","passed","PAY-1039","Refund","Critical","","matched baseline"
"2026-07-31","passed","PAY-1040","Card form","High","","no errors"
"2026-07-31","passed","PAY-1041","Receipt email","Medium","","under 300ms"
"2026-07-31","passed","PAY-1042","Card form","Medium","","no errors"
"2026-08-01","failed","PAY-1043","Receipt email","Medium","QA-1469","timeout"
"2026-08-01","passed","PAY-1044","Receipt email","Medium","","under 300ms"
"2026-08-01","failed","PAY-1045","Refund","Critical","QA-1491","layout shift"
"2026-08-02","passed","PAY-1046","Refund","Low","","under 300ms"
"2026-08-02","passed","PAY-1047","Card form","High","","no errors"
"2026-08-02","passed","PAY-1048","Refund","Critical","","matched baseline"
"2026-08-03","passed","PAY-1049","Refund","Medium","","clean run"
"2026-08-03","passed","PAY-1050","Receipt email","Critical","","matched baseline"
"2026-08-03","passed","PAY-1051","Receipt email","High","","matched baseline"
"2026-08-03","failed","PAY-1052","Receipt email","High","","layout shift"
