"LAST_RUN","MATCH_RESULT","id","category","severity","jira","note"
"2026-07-26","passed","LOG-1001","Password step","Critical","","matched baseline"
"2026-07-26","passed","LOG-1002","Email step","High","","under 300ms"
"2026-07-26","passed","LOG-1003","Password step","Critical","","no errors"
"2026-07-26","passed","LOG-1004","Email step","Low","","clean run"
"2026-07-27","passed","LOG-1005","SSO redirect","Low","","matched baseline"
"2026-07-27","passed","LOG-1006","Password step","High","","no errors"
"2026-07-27","passed","LOG-1007","MFA step","High","","matched baseline"
"2026-07-27","passed","LOG-1008","Email step","Low","","matched baseline"
"2026-07-27","passed","LOG-1009","Password step","Critical","","clean run"
"2026-07-27","passed","LOG-1010","SSO redirect","Low","","under 300ms"
"2026-07-27","passed","LOG-1011","Email step","Critical","","under 300ms"
"2026-07-28","passed","LOG-1012","MFA step","Critical","","clean run"
"2026-07-28","passed","LOG-1013","MFA step","High","","clean run"
"2026-07-28","passed","LOG-1014","SSO redirect","High","","matched baseline"
"2026-07-28","passed","LOG-1015","SSO redirect","Medium","","no errors"
"2026-07-28","passed","LOG-1016","Email step","Critical","","matched baseline"
"2026-07-28","passed","LOG-1017","Email step","Low","","under 300ms"
"2026-07-28","passed","LOG-1018","Password step","High","","matched baseline"
"2026-07-28","failed","LOG-1019","Email step","Medium","","layout shift"
"2026-07-28","passed","LOG-1020","Email step","Low","","under 300ms"
"2026-07-29","passed","LOG-1021","Password step","Medium","","matched baseline"
"2026-07-29","passed","LOG-1022","Email step","High","","no errors"
"2026-07-29","passed","LOG-1023","Password step","Medium","","under 300ms"
"2026-07-29","passed","LOG-1024","Password step","Medium","","no errors"
"2026-07-29","passed","LOG-1025","Email step","Low","","clean run"
"2026-07-29","passed","LOG-1026","Email step","Critical","","no errors"
"2026-07-29","passed","LOG-1027","Password step","Low","","matched baseline"
"2026-07-29","passed","LOG-1028","SSO redirect","Critical","","no errors"
"2026-07-29","passed","LOG-1029","SSO redirect","Low","","under 300ms"
"2026-07-29","passed","LOG-1030","MFA step","Low","","under 300ms"
"2026-07-29","passed","LOG-1031","Email step","Critical","","clean run"
"2026-07-30","failed","LOG-1032","Password step","Medium","QA-1715","layout shift"
"2026-07-30","passed","LOG-1033","Password step","Medium","","no errors"
"2026-07-30","passed","LOG-1034","Email step","Critical","","clean run"
"2026-07-30","passed","LOG-1035","Password step","Low","","under 300ms"
"2026-07-30","passed","LOG-1036","Email step","Critical","","under 300ms"
"2026-07-30","passed","LOG-1037","Email step","Low","","no errors"
"2026-07-30","passed","LOG-1038","MFA step","Critical","","clean run"
"2026-07-30","passed","LOG-1039","MFA step","Low","","no errors"
"2026-07-30","passed","LOG-1040","Email step","Medium","","under 300ms"
"2026-07-30","passed","LOG-1041","Password step","Low","","matched baseline"
"2026-07-31","passed","LOG-1042","SSO redirect","Medium","","under 300ms"
"2026-07-31","passed","LOG-1043","Email step","Low","","matched baseline"
"2026-07-31","passed","LOG-1044","MFA step","Low","","under 300ms"
"2026-07-31","passed","LOG-1045","Password step","High","","no errors"
"2026-07-31","passed","LOG-1046","Email step","Low","","clean run"
"2026-07-31","passed","LOG-1047","SSO redirect","High","","clean run"
"2026-07-31","passed","LOG-1048","Password step","Medium","","under 300ms"
"2026-07-31","passed","LOG-1049","SSO redirect","Low","","no errors"
"2026-07-31","ignored","LOG-1050","MFA step","Medium","","feature flag off"
"2026-08-01","passed","LOG-1051","Email step","Critical","","clean run"
"2026-08-01","failed","LOG-1052","MFA step","Medium","QA-1393","timeout"
"2026-08-01","passed","LOG-1053","Password step","Critical","","clean run"
"2026-08-01","passed","LOG-1054","Email step","Critical","","clean run"
"2026-08-02","passed","LOG-1055","Email step","Medium","","under 300ms"
"2026-08-02","passed","LOG-1056","SSO redirect","Medium","","clean run"
"2026-08-02","passed","LOG-1057","Password step","Critical","","no errors"
"2026-08-03","passed","LOG-1058","SSO redirect","Low","","under 300ms"
"2026-08-03","failed","LOG-1059","Password step","High","QA-1539","assertion failed"
"2026-08-03","passed","LOG-1060","Email step","Medium","","no errors"
"2026-08-03","failed","LOG-1061","Password step","High","","timeout"
"2026-08-03","passed","LOG-1062","Password step","High","","matched baseline"
"2026-08-03","passed","LOG-1063","MFA step","Medium","","matched baseline"
"2026-08-03","passed","LOG-1064","SSO redirect","High","","matched baseline"
"2026-08-04","passed","LOG-1065","MFA step","High","","clean run"
"2026-08-04","passed","LOG-1066","MFA step","High","","matched baseline"
"2026-08-04","passed","LOG-1067","MFA step","Medium","","under 300ms"
"2026-08-04","passed","LOG-1068","MFA step","Medium","","no errors"
"2026-08-04","passed","LOG-1069","SSO redirect","Critical","","clean run"
"2026-08-04","passed","LOG-1070","MFA step","Low","","no errors"
"2026-08-04","passed","LOG-1071","Email step","High","","clean run"
"2026-08-04","passed","LOG-1072","MFA step","Critical","","matched baseline"
"2026-08-05","passed","LOG-1073","Password step","Low","","clean run"
"2026-08-05","passed","LOG-1074","Email step","Low","","under 300ms"
"2026-08-05","passed","LOG-1075","Password step","Medium","","under 300ms"
"2026-08-05","passed","LOG-1076","Email step","High","","matched baseline"
"2026-08-05","failed","LOG-1077","Password step","Medium","QA-1689","timeout"
"2026-08-05","passed","LOG-1078","Password step","Critical","","no errors"
